initial_condition,scenario,rmse_position_all_steps_m,rmse_position_steadystate_m,rmse_fullstate_all_steps,rmse_fullstate_steadystate,mse_position_m2,mse_fullstate,convergence_time_s,peak_position_error_m,peak_yaw_error_deg,peak_attitude_error_deg,rmse_input,mse_input,avg_solve_time_ms,worst_solve_time_ms,std_solve_time_ms,steps_exceeding_80pct_budget,total_steps,simulation_duration_s
OnReference,Circle,5.35078953388663e-10,5.35078953388664e-10,1.36361095816591e-08,1.36361095816591e-08,2.86309486359507e-19,1.85943484523015e-16,0,8.82069859508181e-10,8.75071352842922e-07,8.78992603004925e-07,5.81575899670037e-11,3.38230527077013e-21,10.6864325396825,97.6758,7.85608828483824,1,126,6.28318530717959
OnReference,Lemniscate2,5.62528205029275e-07,5.62528205029275e-07,8.15082777237887e-06,8.15082777237887e-06,3.16437981453458e-13,6.64359933749827e-11,0,1.19384671954731e-06,0.000311928920747295,0.000312608428774858,1.43621281721899e-07,2.06270725634409e-14,8.99680119047619,13.0942,0.53654241089017,0,252,12.5663706143592
OnReference,Spiral,2.50531903797913e-07,2.50531903797912e-07,1.25680820748124e-06,1.25680820748124e-06,6.27662348206065e-14,1.57956687039221e-12,0,8.18448186574168e-07,8.20564204636116e-05,8.26030955648208e-05,2.18649558175242e-08,4.78076292902285e-16,8.67107236580517,10.8108,0.453402069761831,0,503,25.1327412287183
Perturbation,Circle,0.147949981094209,0.00907281837037379,0.60730249701276,0.0396890531703264,0.0218891969057767,0.368816322877933,1.5,0.455910164647111,3.87151909840218,23.2767576017032,0.116676800053127,0.0136134756706374,12.5531031746032,28.1813,4.58030900592415,0,126,6.28318530717959
Perturbation,Lemniscate2,0.0785681718302994,0.00642777530261811,0.279400961270297,0.0207560615899654,0.00617295762475546,0.0780648971587659,1.35,0.346282967248739,0.984267197623834,14.4706649693109,0.0245875611058272,0.000604548161132785,11.0239123015873,22.5081,3.53907563875937,0,252,12.5663706143592
Perturbation,Spiral,0.0557307592138772,0.00449649516476005,0.204057948160474,0.0151262916414976,0.00310591752255516,0.0416396462074625,1.35,0.346590443749594,1.42219419756056,14.0379690042426,0.0355203372951085,0.00126169436155828,9.78177793240557,21.9561,2.68405413591307,0,503,25.1327412287183
Origin,Circle,0.382371488342299,0.0122348153175497,1.11023788844061,0.0381939307865125,0.146207955097105,1.23262816892906,1.8,1.40014284985497,91.4726207456307,91.5721191306405,0.386594713744844,0.149455472695458,11.8297111111111,23.8592,4.32626260322181,0,126,6.28318530717959
Origin,Lemniscate2,0.183858817986245,0.00796707512966578,0.664383072762167,0.0190150679387028,0.033804064951299,0.441404867372899,1.75,1.01138518873869,90,90.0118385420014,0.24395882889976,0.0595159101981423,11.0665313492063,23.1909,4.15905615740011,0,252,12.5663706143592
Origin,Spiral,0.30458102886422,0.00490438104700784,0.706872745095016,0.0257909592882171,0.0927696031439867,0.499669077758164,1.85,2.05679362114919,91.4231798242601,91.4913355578866,0.23166955759481,0.0536707839161748,9.53944512922465,23.0454,2.19283357883658,0,503,25.1327412287183
