step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
11,0.543853973574333,0.0887883991490188,-0.434265863754344,0.98669661959833,-1.70698075808836,-0.693617974481174,0.0583974854247496,-0.129355446630062,1.20371492506389,1.49858309719827,0.76020488220454,1.39535862799951,1.9378246692884,0.247409653079473,-0.600002252356262,0.540531242916483,-0.0114397359348891,-0.208932862472357,0.0467433585724633,-0.0170109346220852,2.04597745310082,6.31822091397133e-08,0.0137372848269779,0.857162353558555
12,0.640543027343252,0.110707758526098,-0.464529208782561,0.943900145106149,-1.76864475049595,-0.442395938656095,0.119936101309955,-0.101123015281509,1.27489755258553,1.28754481286005,0.618540686533686,1.32237533684313,1.92485015397228,0.271555327693624,-0.61000302508031,0.548845810207786,-0.0116980224848307,-0.209767119185223,0.0459984118208943,-0.0182767535969568,2.08818909793993,8.09130700753352e-08,0.0139473131314964,0.831572690637243
13,0.735488201103601,0.135290171926137,-0.490442622600098,0.882470071217063,-1.77754953587705,-0.25542252377149,0.173305342174139,-0.0820838597392223,1.34403537718417,1.09836083255815,0.539340593915967,1.29107784074218,1.91067265299631,0.295532154254247,-0.620003956801658,0.557763075551276,-0.0119760037456917,-0.21057716307541,0.0452265490331935,-0.0194406110708608,2.12910916393302,1.00446386935206e-07,0.0141727727007811,0.805359284906931
14,0.82710725634194,0.16247409960652,-0.513646002641159,0.810668567735139,-1.7461247851544,-0.125630818406737,0.218547645690741,-0.0695800457539204,1.41232428397048,0.916847941499315,0.483728053203156,1.28316971397985,1.895301024397,0.319325315705412,-0.630005062227247,0.567233169775637,-0.0122724155406942,-0.211360964465522,0.0444354342458681,-0.0205017708686656,2.16871419533411,1.21474701936204e-07,0.0144123960414871,0.778836720361333
15,0.913939024857687,0.192039103586298,-0.535301147471621,0.734274769265477,-1.68405738636443,-0.0443676533539422,0.255485144071118,-0.0622923271165225,1.48040285671602,0.738909217686331,0.439966174944709,1.28947505566811,1.87874487235624,0.342920124759344,-0.640006355987241,0.577206098871917,-0.0125860072299722,-0.212116558212467,0.0436321022010896,-0.0214606386354566,2.20699548764119,1.4366312269219e-07,0.0146649117943699,0.752282154248046
16,0.994746319144117,0.223630375074039,-0.556121831720012,0.657882451627307,-1.59908832137747,-0.00218591351394441,0.283950361195858,-0.0592775901738234,1.54860909958462,0.564485239950722,0.404238965901568,1.30285738299255,1.86101454119738,0.366302033098359,-0.650007852624555,0.587632256859482,-0.0129155578510421,-0.212842048619569,0.0428228924230431,-0.0223185701899701,2.24395719122955,1.6666512104689e-07,0.0149290579176065,0.7259338203865
17,1.06857793268819,0.256801903176665,-0.576459421137256,0.585291722622946,-1.49746215904811,0.0102473956383201,0.30394457252705,-0.0596902783451854,1.61707397451923,0.397340753198083,0.374320305265337,1.31805806163851,1.84212110891813,0.389456640487683,-0.660009566584276,0.598462846635332,-0.0132598886560603,-0.213535614179859,0.0420134202458511,-0.0230776866139602,2.27961438691747,1.90135719719073e-07,0.0152035925228885,0.699991456013894
18,1.13478693342554,0.291064087379533,-0.596408150901655,0.519594107886783,-1.38428884317788,0.00160441906821461,0.315745321912205,-0.0626972072905344,1.68579026493472,0.242238340261829,0.3498265632893,1.33109025387577,1.82207638026459,0.412369703793398,-0.670011512203024,0.609650213877043,-0.0136178723126267,-0.214195512138658,0.0412085778827275,-0.0237407030811419,2.31399121716984,2.1374187609896e-07,0.0154873024885788,0.674618165183011
19,1.19301383881587,0.325926405542182,-0.615904979433773,0.463168803946246,-1.26384728074987,-0.0205449765005665,0.319919945693959,-0.0674522671472108,1.7546526259219,0.103521513564211,0.330446198762959,1.33896746679703,1.80089287935072,0.43502714589988,-0.680013703698222,0.621148101815495,-0.0139884391506189,-0.21482008286398,0.0404125585254054,-0.0243107757737198,2.34711913327843,2.37170149115177e-07,0.0157790100460148,0.649943263192672
20,1.24314738483537,0.36092989009761,-0.634812570353447,0.417663684626667,-1.1398255373411,-0.0500138669081624,0.317287440439164,-0.0731335511610482,1.8234703705097,-0.0156471407053975,0.315581716687041,1.33959586324581,1.77858384182814,0.457415064521185,-0.69001615515733,0.632911836249857,-0.0143705808936222,-0.215407754013808,0.0396288969403546,-0.0247913690199077,2.37903529776467,2.60131915832831e-07,0.0160775775762163,0.626065708074437
