step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
1,2.05679362114919,90.0472834761503,0.53851648071345,0.998784708348756,-1.5707963267949,-1.5707963267949,2.82629886629771,4.2304,2.05679362114919,7.9879652816357,2.82629886629771,4.70510673547816,2.1691257998277,0,0.0116336
2,2.05611181322328,91.4913355578866,0.544631524422751,2.85645313417557,-1.59563550057619,-1.59563550057619,3.90299807969084,4.22899789423816,2.05645274544254,11.610679645853,3.40744473848851,2.67717666806731,1.63620801491354,0,0.0119213
3,2.05146347109909,91.2966438230997,0.497991041712044,4.58847594807102,-1.57607001626863,-1.57607001626863,5.29618907132084,4.22216605391009,2.05479100005574,17.0903259902948,4.13404474943061,4.128176647415,2.03179148718932,0,0.0110932
4,2.03572766143857,88.9417843666417,0.72209255169839,4.50548890824569,-1.49088426400984,-1.49088426400984,5.23208888679217,4.2026713183191,2.05004178453004,19.6614330225446,4.43412144878155,4.85237916244447,2.20281164933466,0,0.0130176
5,1.99506463259315,82.5306854749588,1.18932268335144,3.85553495847623,-1.31555979659012,-1.31555979659012,4.72596720884998,4.15819363230009,2.03916493504083,20.1960996298608,4.49400707941818,4.63877372402233,2.15378126187929,0,0.0130137
6,1.92727903145521,73.6137583234353,1.60999207225512,3.52087399965723,-1.12836773569518,-1.12836773569518,4.51151305152725,4.0842287710979,2.02094749340449,20.2223746939008,4.49692947397452,3.96092132281459,1.99020635181747,0,0.0118025
7,1.83811890942045,65.2094765881399,1.83595330095877,3.4104864308541,-1.01457832801252,-1.01457832801252,4.43577959745161,3.98343625025091,1.99585476682321,20.1443412572246,4.48824478579596,3.42994158674819,1.8520101475824,0,0.0093733
8,1.73717961391924,58.7987553884135,1.8596677582971,3.16695322446872,-0.953276999292406,-0.953276999292406,4.19033432733557,3.86273084534662,1.96538312940419,19.8211613219274,4.45209628399111,3.12023623224755,1.766419042087,0,0.0094219
9,1.63115371606937,54.1560983086542,1.83158037182113,2.57180201258363,-0.909463639029314,-0.909463639029314,3.67735257256413,3.72916768980221,1.93110530261874,19.1213569464848,4.37279738228114,2.87686981161643,1.69613378352547,0,0.0113975
10,1.52262082331404,50.9311432927538,1.81896475670951,2.09352514437016,-0.87339158951471,-0.87339158951471,3.28633936102583,3.58808833798094,1.89422499666247,18.2892238914191,4.27659021785103,2.65143088513881,1.62832149317597,0,0.0099916
