step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
21,9.17309233975582e-11,1.8237624483065e-07,2.98519035092964e-09,1.60955849664703e-09,-3.16990922399896e-09,-3.16990922399896e-09,4.65213535787325e-09,1.62879620889322e-21,4.03583474499789e-11,3.01175143978683e-17,5.48794263798997e-09,1.80141715003631e-20,1.34216882322467e-10,1,0.0101774
22,1.00376722362218e-10,1.87181391785321e-07,3.07039685428971e-09,1.78290610310873e-09,-3.25342819351704e-09,-3.25342819351704e-09,4.82586867657803e-09,2.01273667176997e-21,4.48635338751861e-11,2.98071277654005e-17,5.45959043934621e-09,1.71991358269266e-20,1.31145475815701e-10,1,0.0103023
23,1.08740816780575e-10,1.92499491178734e-07,3.16498075150886e-09,1.97182443600905e-09,-3.3458191772695e-09,-3.3458191772695e-09,5.02045206308725e-09,2.43933791361069e-21,4.93896539126434e-11,2.96070325981117e-17,5.44123447373036e-09,1.64554464762363e-20,1.28278784201583e-10,1,0.0098166
24,1.167960950429e-10,1.98372889455388e-07,3.26924301456792e-09,2.17421673973254e-09,-3.44782291605839e-09,-3.44782291605839e-09,5.23603422675798e-09,2.90608749292984e-21,5.39081393940641e-11,2.95157418408479e-17,5.43283920623903e-09,1.57742685242391e-20,1.25595654878022e-10,1,0.0104902
25,1.245386782966e-10,2.04838436613323e-07,3.38344315840097e-09,2.38821620825019e-09,-3.56008467150559e-09,-3.56008467150559e-09,5.47249038416156e-09,3.41023928888721e-21,5.83972541211246e-11,2.95330382074036e-17,5.4344308080427e-09,1.51481190399658e-20,1.23077695135901e-10,1,0.011009
26,1.31984184892711e-10,2.11927814044314e-07,3.50781041855273e-09,2.61209390019768e-09,-3.68315999921265e-09,-3.68315999921265e-09,5.72944952198732e-09,3.94906951092206e-21,6.28416224402431e-11,2.9659713346542e-17,5.44607320429518e-09,1.45706121769846e-20,1.20708790802429e-10,1,0.0118794
27,1.39166629798487e-10,2.19667786560395e-07,3.64254827592136e-09,2.84418914997993e-09,-3.81751918965278e-09,-3.81751918965278e-09,6.00632390325358e-09,4.52011696790528e-21,6.72318151465903e-11,2.98973508829958e-17,5.46784700618038e-09,1.40362694861944e-20,1.18474763077182e-10,1,0.0096048
28,1.46133361158585e-10,2.28080258764578e-07,3.78783509858773e-09,3.08291835620787e-09,-3.96354815634936e-09,-3.96354815634936e-09,6.30236603063201e-09,5.121361334891e-21,7.15636872644989e-11,3.02481532651768e-17,5.49983211245369e-09,1.35403677485242e-20,1.16363085849956e-10,1,0.0105661
29,1.52942878803485e-10,2.37182431225262e-07,3.94382092694786e-09,3.32669566405986e-09,-4.12155110041112e-09,-4.12155110041112e-09,6.61667787178038e-09,5.75136695012571e-21,7.58377673070991e-11,3.07147833615124e-17,5.54209196617237e-09,1.30797846457332e-20,1.14366886141633e-10,1,0.0098717
30,1.59662092946734e-10,2.47019993668701e-07,4.11122694608208e-09,3.59626028741937e-09,-4.29231894472082e-09,-4.29231894472082e-09,6.9604726846594e-09,6.4093875159259e-21,8.00586504752978e-11,3.13058965825916e-17,5.59516725242343e-09,1.2652019519676e-20,1.12481196293763e-10,1,0.0095988
