step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
30,2.66242590319886,-6.86041502071161e-05,-5.55172922470033e-14,-1.503532424704e-11,2.6624259031943,-6.8604150104745e-05,1.08088762213773e-20,-3.78803337136993e-21
31,2.66242590319929,-6.86041506427536e-05,-3.04341765717072e-13,-1.46710809685273e-11,2.6624259031943,-6.86041501047451e-05,-2.30795667315593e-20,7.14366748848293e-21
32,2.66242590319945,-6.86041509796954e-05,-4.82075239493455e-13,-1.42754179338347e-11,2.6624259031943,-6.8604150104745e-05,1.00358347325652e-20,-2.0702959628429e-20
33,2.66242590319932,-6.86041512231451e-05,-6.10080204584832e-13,-1.38542108596626e-11,2.6624259031943,-6.8604150104745e-05,-4.20345186386895e-21,1.47157511574942e-21
34,2.66242590319893,-6.86041513853345e-05,-6.9709003750878e-13,-1.33948120347732e-11,2.6624259031943,-6.86041501047451e-05,-9.2340535328061e-22,1.26026630258211e-21
35,2.66242590319837,-6.86041514902254e-05,-7.54764614682544e-13,-1.28865874424132e-11,2.6624259031943,-6.8604150104745e-05,-3.43442136282003e-21,6.80960873562219e-20
36,2.66242590319767,-6.86041515524107e-05,-7.93945335510552e-13,-1.23200962460801e-11,2.6624259031943,-6.8604150104745e-05,-1.78571196234158e-20,-6.38210916703826e-20
37,2.66242590319692,-6.86041515819075e-05,-8.18032791458724e-13,-1.16882841270282e-11,2.6624259031943,-6.8604150104745e-05,-2.39527135301777e-20,-5.87720603125971e-20
38,2.66242590319615,-6.86041515904418e-05,-8.33873870986802e-13,-1.09863396218664e-11,2.6624259031943,-6.8604150104745e-05,-1.05841907362812e-20,-4.00541989713073e-19
39,2.66242590319539,-6.86041515849702e-05,-8.44202435516507e-13,-1.02107430980747e-11,2.6624259031943,-6.8604150104745e-05,-3.69388767600983e-20,1.41912881797221e-19
40,2.66242590319467,-6.86041515696962e-05,-8.49747761168507e-13,-9.36042486585897e-12,2.6624259031943,-6.8604150104745e-05,-1.23686638209939e-20,-5.37043675249325e-19
41,2.66242590319398,-6.86041515497204e-05,-8.52344402014748e-13,-8.4354893866071e-12,2.6624259031943,-6.86041501047452e-05,1.71726088082727e-20,4.03374200735309e-19
42,2.66242590319334,-6.86041515274264e-05,-8.53120643214478e-13,-7.43820700346063e-12,2.6624259031943,-6.86041501047451e-05,-4.8039449872788e-21,1.34353451574991e-19
43,2.66242590319276,-6.86041515045263e-05,-8.52079911555488e-13,-6.3715938357275e-12,2.6624259031943,-6.8604150104745e-05,2.59723264598412e-20,-1.67312975923159e-21
44,2.66242590319222,-6.86041514815258e-05,-8.49654305038298e-13,-5.24029041470818e-12,2.6624259031943,-6.86041501047451e-05,6.74149510556309e-22,1.32985497453041e-19
45,2.66242590319172,-6.86041514590321e-05,-8.45923007793782e-13,-4.05028585473524e-12,2.6624259031943,-6.8604150104745e-05,0,1.32671651442706e-19
46,2.66242590319127,-6.86041514351744e-05,-8.40029141143973e-13,-2.80668776254349e-12,2.6624259031943,-6.86041501047451e-05,2.13024042849952e-20,1.34369383869906e-19
47,2.66242590319086,-6.86041514136839e-05,-8.33589731326584e-13,-1.51901141895561e-12,2.6624259031943,-6.8604150104745e-05,1.63644364852836e-20,1.67453821042428e-21
48,2.66242590319047,-6.86041513896789e-05,-8.24957384049664e-13,-1.92184308988384e-13,2.6624259031943,-6.8604150104745e-05,-3.09102942595528e-20,1.36019319412362e-19
49,2.66242590319014,-6.86041513649169e-05,-8.14460625203795e-13,1.16377500549333e-12,2.6624259031943,-6.8604150104745e-05,2.13024042849952e-20,-1.3268758373762e-19
50,2.66242590318983,-6.86041513379197e-05,-8.02545568630478e-13,2.54238891355714e-12,2.6624259031943,-6.86041501047452e-05,-6.66245335063844e-20,1.39414784266761e-19
51,2.66242590318956,-6.86041513099486e-05,-7.89477612685642e-13,3.93268342379937e-12,2.6624259031943,-6.8604150104745e-05,-7.0709406238132e-20,-9.31317636340372e-19
52,2.66242590318934,-6.86041512772852e-05,-7.75528407508848e-13,5.32966452697958e-12,2.6624259031943,-6.8604150104745e-05,2.04317114084251e-21,-2.75763881984372e-19
53,2.66242590318915,-6.86041512407612e-05,-7.5897781574402e-13,6.72377000442288e-12,2.6624259031943,-6.86041501047451e-05,-6.45813623655419e-20,-3.13846010334797e-22
54,2.662425903189,-6.86041512002263e-05,-7.41415566036091e-13,8.10772074219419e-12,2.6624259031943,-6.8604150104745e-05,2.33046982494419e-21,-2.61320328227835e-19
55,2.6624259031889,-6.86041511587875e-05,-7.23415050507429e-13,9.47101021821645e-12,2.6624259031943,-6.86041501047449e-05,-4.8039449872788e-21,2.36577719326021e-21
56,2.66242590318884,-6.86041511108567e-05,-7.0452566545982e-13,1.08095004715595e-11,2.6624259031943,-6.86041501047451e-05,-1.3402281243275e-22,-1.34344781201938e-19
57,2.66242590318883,-6.86041510590443e-05,-6.85155394420376e-13,1.21149394291762e-11,2.6624259031943,-6.86041501047449e-05,-4.8039449872788e-21,1.68180013228505e-21
58,2.66242590318887,-6.86041510023466e-05,-6.6428446942495e-13,1.33813710524083e-11,2.6624259031943,-6.8604150104745e-05,-7.34612883299189e-20,-1.20371996460903e-19
59,2.66242590318897,-6.86041509423704e-05,-6.42822124841087e-13,1.46014366730635e-11,2.6624259031943,-6.8604150104745e-05,3.35606035047352e-20,-1.0919399525869e-20
60,2.66242590318911,-6.86041508792035e-05,-6.22564827478521e-13,1.57692630837321e-11,2.6624259031943,-6.8604150104745e-05,3.74099743278092e-20,2.57091225229155e-19
61,2.66242590318931,-6.86041508128293e-05,-6.00009881885657e-13,1.6879436329022e-11,2.6624259031943,-6.8604150104745e-05,-2.65793715089131e-20,-5.33018746961439e-20
62,2.66242590318956,-6.86041507392874e-05,-5.78332143498085e-13,1.79288803700156e-11,2.6624259031943,-6.8604150104745e-05,-4.58168780555471e-20,-1.88232699309374e-19
63,2.66242590318987,-6.86041506660821e-05,-5.56374173618529e-13,1.89102514752893e-11,2.6624259031943,-6.86041501047451e-05,2.42751213289993e-20,-4.28755028357432e-20
64,2.66242590319024,-6.86041505888167e-05,-5.34479405395616e-13,1.98201510788191e-11,2.6624259031943,-6.8604150104745e-05,2.61841722901861e-20,2.05423536844419e-21
65,2.66242590319066,-6.86041505086214e-05,-5.11935433906937e-13,2.06549893260161e-11,2.6624259031943,-6.8604150104745e-05,-1.45638263942501e-21,5.14729001745917e-20
66,2.66242590319115,-6.86041504275558e-05,-4.90053783723535e-13,2.14106132108291e-11,2.6624259031943,-6.86041501047449e-05,-9.13060289245516e-21,-6.55752026382595e-20
67,2.66242590319169,-6.86041503436943e-05,-4.67726236995235e-13,2.2083995823591e-11,2.6624259031943,-6.8604150104745e-05,-7.76107926799639e-21,4.2261762633463e-22
68,2.66242590319228,-6.86041502565849e-05,-4.46043978322321e-13,2.26734190155443e-11,2.6624259031943,-6.8604150104745e-05,-4.8039449872788e-21,6.80176258536382e-20
69,2.66242590319293,-6.86041501706213e-05,-4.23601843401681e-13,2.31736755236135e-11,2.6624259031943,-6.8604150104745e-05,8.58630440413634e-21,2.01687100367654e-19
