step,T,L,M,N,T_ref,L_ref,M_ref,N_ref
26,2.65236379626502,-8.59802049732556e-05,-9.51239482033333e-05,0.00175328958046539,2.65236390821183,-8.59703560798184e-05,-9.50966168296947e-05,0.00175336186305774
27,2.65243864356997,-9.69770170406278e-05,-8.12831515701376e-05,0.000919277661197661,2.65243876839584,-9.69809183024455e-05,-8.12663124543328e-05,0.000919346348558123
28,2.65249844544233,-0.000106652632821164,-6.53508769999007e-05,4.70209205561182e-06,2.65249857009059,-0.000106667543399894,-6.53421987468545e-05,4.76516057532641e-06
29,2.65254244382705,-0.000114563692121554,-4.78622275946423e-05,-0.000924872108568091,2.65254255871842,-0.000114586743051142,-4.78592869874606e-05,-0.000924815713820659
30,2.65257003707141,-0.000120407931317192,-2.94838312395539e-05,-0.00180130718573069,2.65257013608823,-0.000120436340200997,-2.94844987235626e-05,-0.001801257842909
31,2.65258078667391,-0.000124062038910655,-1.09323301354241e-05,-0.00256595338531305,2.6525808667426,-0.00012409327974602,-1.09349574636603e-05,-0.00256591102359807
32,2.65257442222366,-0.000125582853604192,7.11281663508951e-06,-0.00317871139626421,2.652574482689,-0.000125614775506158,7.10936263674557e-06,-0.00317867566075968
33,2.65255084452711,-0.000125175430758206,2.4080299892809e-05,-0.00362171646636227,2.65255088646835,-0.000125206321706068,2.40767006971465e-05,-0.00362168684552025
34,2.65251012693984,-0.000123141427436256,3.95479936266992e-05,-0.00389760261745292,2.65251015252977,-0.000123170027260441,3.95445874464328e-05,-0.00389757852081996
35,2.65245251493264,-0.000119824037847142,5.32520027633296e-05,-0.00402415350487808,2.65245252689722,-0.000119849510539133,5.32488992600398e-05,-0.00402413431527546
36,2.65237842392766,-0.000115561995951922,6.50708538907029e-05,-0.0040277443805078,2.65237842513014,-0.000115583875189675,6.50680325325133e-05,-0.00402772948141163
37,2.65228843544647,-0.000110658607580775,7.49957983888117e-05,-0.00393748628286999,2.65228842859674,-0.000110676728826092,7.4993181435515e-05,-0.00393747510385321
38,2.65218329161936,-0.000105365943047185,8.30973174152934e-05,-0.00378103987570255,2.65218327909507,-0.000105380372956375,8.30948172935011e-05,-0.00378103187436819
39,2.65206388811408,-9.98809311559851e-05,8.94946400555151e-05,-0.00358223440830917,2.6520638718731,-9.98919010454403e-05,8.94921855477677e-05,-0.00358222908409053
40,2.6519312655529,-9.43490908310348e-05,9.43315608491413e-05,-0.0033601483303067,2.65193124711464,-9.43569387581467e-05,9.43291078404018e-05,-0.00336014523306741
41,2.65178659949912,-8.88721351152928e-05,9.77592201689445e-05,-0.00312915747382863,2.65178657997315,-8.8877258301382e-05,9.77567525033407e-05,-0.00312915619849247
42,2.6516311891061,-8.35167664712288e-05,9.99250333985545e-05,-0.00289950524778212,2.65163116924948,-8.35195840750785e-05,9.99225582809845e-05,-0.00289950543202558
43,2.65146644453531,-7.83230655535703e-05,0.000100966383104337,-0.00267807415694156,2.65146642482367,-7.83239911347832e-05,0.000100963924242442,-0.00267807547367404
44,2.65129387326182,-7.3311704976511e-05,0.000101007664866234,-0.00246916410126531,2.65129385396265,-7.33111271608593e-05,0.000101005255143918,-0.00246916626982187
45,2.65111506539693,-6.8489751930942e-05,0.00010015950576779,-0.00227517961533877,2.65111504663782,-6.84880226105958e-05,0.000100157181048047,-0.00227518238561848
46,2.65093167816899,-6.38551206509689e-05,9.85192737214088e-05,-0.00209719046982518,2.65093165999611,-6.3852548098841e-05,9.85170679587367e-05,-0.00209719362168392
47,2.65074541971318,-5.93998640022638e-05,9.61722683872104e-05,-0.00193536506939344,2.65074540213709,-5.93967104276501e-05,9.61702101731074e-05,-0.00193536841113464
48,2.65055803232713,-5.51125333361078e-05,9.31932008719608e-05,-0.00178929231687015,2.65055801535611,-5.51090155681343e-05,9.31913114489436e-05,-0.0017892956824014
49,2.65037127535777,-5.0979822589389e-05,8.96477256214505e-05,-0.00165821297579217,2.6503712590192,-5.09761148351275e-05,8.96460180501203e-05,-0.00165821622190862
50,2.65018690788826,-4.698768006913e-05,8.55938927760772e-05,-0.0015411812257151,2.65018689223977,-4.69839180469493e-05,8.55923719771833e-05,-0.00154118422939726
51,2.65000667139725,-4.31220344187961e-05,8.10834565351541e-05,-0.00143717429533437,2.65000665652951,-4.31183202606689e-05,8.10821199348399e-05,-0.00143717695114808
52,2.64983227256373,-3.93692467188569e-05,7.61630157942843e-05,-0.00134516455511318,2.649832258597,-3.93656542056489e-05,7.61618543440255e-05,-0.00134516677274808
53,2.64966536638994,-3.57163718032847e-05,7.08749865860465e-05,-0.00126416511152781,2.64966535346647,-3.57129516577027e-05,7.08739859526388e-05,-0.00126416681347518
54,2.64950753981252,-3.21512891121981e-05,6.52584179767952e-05,-0.00119325711217361,2.64950752808646,-3.21480741731639e-05,6.52575597761439e-05,-0.00119325823171239
55,2.64936029596744,-2.86627460309247e-05,5.9349668603006e-05,-0.00113160472103473,2.64936028559385,-2.86597562384398e-05,5.93489315746352e-05,-0.00113160520058989
56,2.64922503926842,-2.52403438008125e-05,5.31829626029154e-05,-0.00107846200876582,2.64922503039247,-2.52375910244685e-05,5.318232368611e-05,-0.00107846179892387
57,2.64910306145035,-2.18744867859583e-05,4.67908432647013e-05,-0.00103317473480586,2.6491030541978,-2.18719795842457e-05,4.67902785676131e-05,-0.00103317379420654
58,2.64899552872009,-1.85563091335693e-05,4.02045412274049e-05,-0.000995179079472107,2.64899552318971,-1.85540576347692e-05,4.02040269258009e-05,-0.000995177375951738
59,2.64890347014586,-1.52775881914976e-05,3.34542722328909e-05,-0.000963998730305025,2.64890346640436,-1.52756093257952e-05,3.3453785475801e-05,-0.00096399624378631
60,2.64882776740375,-1.20306506797817e-05,2.65694775652779e-05,-0.000939241267678284,2.64882776548386,-1.20289740786074e-05,2.6568997501863e-05,-0.000939237995678717
61,2.64876914598646,-8.80827534156042e-06,1.95790185709187e-05,-0.000920594476927595,2.64876914588888,-8.80695027570458e-06,1.95785276864069e-05,-0.00092059044357185
62,2.64872816796412,-5.60359424089425e-06,1.25113352048636e-05,-0.00090782299577063,2.64872816966412,-5.60269800207101e-06,1.25108212087488e-05,-0.00090781826576221
63,2.64870522637177,-2.40999146610172e-06,5.39457669869472e-06,-0.000900765562511042,2.64870522983128,-2.4096419687796e-06,5.39403591980808e-06,-0.00090076025759977
64,2.64870054127779,7.78985836329315e-07,-1.74328424773354e-06,-0.000899333001351461,2.64870054646696,7.78624959011291e-07,-1.74384452432276e-06,-0.000899327342468005
65,2.648714157579,3.9697391689284e-06,-8.87435549623071e-06,-0.000903507097638362,2.6487141645061,3.96843765725357e-06,-8.87490934942059e-06,-0.000903501437367515
66,2.64874594453846,7.16870869610005e-06,-1.59707302369997e-05,-0.000913340340131911,2.64874595329341,7.16615434633048e-06,-1.59712243644842e-05,-0.000913335219622351
67,2.648795597072,1.03824676935862e-05,-2.30043922538641e-05,-0.000928956578359583,2.64879560788754,1.03782522915111e-05,-2.3004734047382e-05,-0.000928952803675194
68,2.64886263877019,1.36178147205343e-05,-2.9947114293721e-05,-0.000950552566508018,2.64886265210448,1.36114239563427e-05,-2.99471553279406e-05,-0.000950551301404985
69,2.648946426625,1.68818576171637e-05,-3.67703410364913e-05,-0.000978400328824832,2.6489464432689,1.6872673789191e-05,-3.67698560900827e-05,-0.00097840319792552
70,2.64904615741434,2.01820821695797e-05,-4.34450474594689e-05,-0.00101285021558871,2.64904617862442,2.01694154783025e-05,-4.34437108807141e-05,-0.0010128594186567
71,2.64916087568582,2.35264014327361e-05,-4.99415628533341e-05,-0.00105433449321848,2.64916090333701,2.35095689448918e-05,-4.99389255247992e-05,-0.00105435288193211
72,2.64928948327193,2.69231739170181e-05,-5.62293455149544e-05,-0.00110337115080966,2.64928952000925,2.69016554739675e-05,-5.62248212908515e-05,-0.0011034022106045
73,2.64943075026058,3.03811788111307e-05,-6.22766884384212e-05,-0.00116056743012429,2.6494307996079,3.03548880854955e-05,-6.22695679226421e-05,-0.00116061509726255
74,2.64958332734485,3.39095596039674e-05,-6.80503350313713e-05,-0.00122662238286052,2.64958339369297,3.3879252346603e-05,-6.80398532634218e-05,-0.00122669055514844
75,2.64974575947191,3.75177601174055e-05,-7.3514980684971e-05,-0.00130232729688492,2.64974584782332,3.74855700693899e-05,-7.35004753994671e-05,-0.00130241890577241
76,2.64991650069712,4.12155356758102e-05,-7.86326490439916e-05,-0.00138856227064751,2.64991661600224,4.11855343842525e-05,-7.86138413644219e-05,-0.00138867780768654
77,2.65009393007882,4.50130861987549e-05,-8.33619113640864e-05,-0.00148628607769993,2.65009407601627,4.49916990598887e-05,-8.33393547273743e-05,-0.00148642185744955
78,2.65027636841965,4.89216593375287e-05,-8.76571096683085e-05,-0.00159651602122849,2.65027654551154,4.8917397045075e-05,-8.7632673305275e-05,-0.0015966622159893
79,2.65046209537368,5.29543333781997e-05,-9.14675312259219e-05,-0.00172029147704694,2.65046229864545,5.29765522559296e-05,-9.14448186175911e-05,-0.00172043123968218
80,2.65064936637027,5.71270157439778e-05,-9.4736789274477e-05,-0.00185861458462257,2.65064958314576,5.71833336957312e-05,-9.47211219224935e-05,-0.00185872512927301
81,2.65083642868866,6.14587518284634e-05,-9.74023332434954e-05,-0.00201235841762507,2.65083663760568,6.15515810726715e-05,-9.739999998579e-05,-0.00201241507571026
82,2.65102153637529,6.59705931493243e-05,-9.93950312185219e-05,-0.00218213171148483,2.65102170884211,6.60939053295534e-05,-9.94115706570825e-05,-0.00218211428010415
83,2.65120296428688,7.06820644015111e-05,-0.00010063821909504,-0.00236808506767579,2.65120306914352,7.08203357232345e-05,-0.000100676149173513,-0.00236798473776794
84,2.65137902240917,7.56056086200671e-05,-0.000101045755265473,-0.00256964067240187,2.65137903323616,7.57363487107018e-05,-0.000101102718518199,-0.00256946435991774
85,2.65154807189246,8.07405153260588e-05,-0.000100519120784553,-0.00278512343075797,2.65154797480052,8.08400776769191e-05,-0.000100587551399958,-0.00278489310680715
86,2.6517085434817,8.6068033778267e-05,-9.89444245968342e-05,-0.00301127175508713,2.6517083423747,8.61184774192845e-05,-9.90132898920027e-05,-0.00301101872756523
87,2.65185895750214,9.15482410046145e-05,-9.61909346847889e-05,-0.00324261596595631,2.65185867448849,9.15422245745633e-05,-9.62489735116154e-05,-0.00324237260076796
88,2.65199794325999,9.71174353326953e-05,-9.21127418525144e-05,-0.00347073812865291,2.65199761387938,9.70592116231685e-05,-9.21517527501103e-05,-0.00347053046344756
89,2.65212425557604,0.000102684004597623,-8.65545547982727e-05,-0.00368347635530312,2.65212392065185,0.000102586694206073,-8.65713177993166e-05,-0.00368332002867436
90,2.65223678722723,0.000108121609698668,-7.93620897180416e-05,-0.0038642162757371,2.65223648425139,0.000108002553401647,-7.93583532709983e-05,-0.003864116195345
