step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
21,2.20424888960686e-07,6.12963537008805e-06,1.61979615791611e-07,4.451406238825e-07,6.16803168540514e-08,6.16803168540514e-08,5.3331034046562e-07,1.39365524064249e-14,1.18053176181011e-07,7.65579385177287e-13,8.74973933998772e-07,1.3200786228508e-15,3.63328862444316e-08,1,0.0101316
22,2.26666620198609e-07,6.46750486765188e-06,1.344010635821e-07,3.42716318267309e-07,7.85704026284861e-08,7.85704026284861e-08,4.46808240153307e-07,1.56384253294175e-14,1.25053689787297e-07,7.39854758735996e-13,8.60148102791604e-07,1.26447736486931e-15,3.55594905035113e-08,1,0.0107977
23,2.31156218548964e-07,6.65993891001247e-06,1.21976312986244e-07,2.69724675514813e-07,8.97026515289667e-08,8.97026515289667e-08,3.93159076505304e-07,1.72816762878713e-14,1.31459789623563e-07,7.14407771810018e-13,8.45226461849142e-07,1.21379433441037e-15,3.48395512946187e-08,1,0.0102987
24,2.34062297112921e-07,6.70889811181431e-06,1.22300959105027e-07,2.20872993169236e-07,9.62375819035799e-08,9.62375819035799e-08,3.63645684283764e-07,1.88443213979507e-14,1.37274620370813e-07,6.90150705638693e-13,8.30753095473434e-07,1.16698794252573e-15,3.41612052264807e-08,1,0.0096011
25,2.35560432390584e-07,6.63426605292685e-06,1.30071943869487e-07,1.90987991679663e-07,9.91509252479261e-08,9.91509252479261e-08,3.49701466133018e-07,2.03100972343543e-14,1.42513498428585e-07,6.67436322029768e-13,8.16967760704037e-07,1.12325605476728e-15,3.35150123790412e-08,1,0.0093387
26,2.35823121964652e-07,6.45983095609643e-06,1.40494610460005e-07,1.74627227288297e-07,9.92576643099596e-08,9.92576643099596e-08,3.44321733205014e-07,2.16678836812312e-14,1.47200148373673e-07,6.46325596411597e-13,8.03943776897114e-07,1.08208903247816e-15,3.28951217124692e-08,1,0.0090288
27,2.35013592911438e-07,6.20832187025088e-06,1.50727898059937e-07,1.6657822034558e-07,9.72341061000748e-08,9.72341061000748e-08,3.42694528913174e-07,2.29109764653761e-14,1.51363722421775e-07,6.26737223957353e-13,7.91667369516613e-07,1.04322261245048e-15,3.22989568322335e-08,1,0.0090143
28,2.33282444286849e-07,5.89985770995905e-06,1.59451421685965e-07,1.62705714434048e-07,9.36378037330599e-08,9.36378037330599e-08,3.41938335272696e-07,2.40363236920572e-14,1.55036523735722e-07,6.08529531142057e-13,7.80083028364326e-07,1.0065519620983e-15,3.17262030835443e-08,1,0.00906
29,2.30766275391842e-07,5.55167735750608e-06,1.66194928055678e-07,1.60279286405005e-07,8.89252680380537e-08,8.89252680380537e-08,3.40517148057019e-07,2.50437978357181e-14,1.58252323318548e-07,5.9154409655512e-13,7.69119039261882e-07,9.72047124832806e-16,3.11776702919382e-08,1,0.008928
30,2.27587627941163e-07,5.17832213385024e-06,1.70910998017464e-07,1.57741413009475e-07,8.34675204508528e-08,8.34675204508528e-08,3.37723812092818e-07,2.59355421875903e-14,1.61045155740837e-07,5.756278724451e-13,7.58701438277996e-07,9.39689672877563e-16,3.06543581384045e-08,1,0.0089412
31,2.23855729157251e-07,4.79194646298218e-06,1.73747280662817e-07,1.54316184178153e-07,7.7563624856225e-08,7.7563624856225e-08,3.33328432098376e-07,2.67154081646527e-14,1.6344848780167e-07,5.60643355387037e-13,7.48761213863964e-07,9.0943557746148e-16,3.01568495944367e-08,1,0.0088824
32,2.19667652828523e-07,4.40263324976507e-06,1.74929764448393e-07,1.49693678241802e-07,7.1452336936062e-08,7.1452336936062e-08,3.27363638223618e-07,2.73884853376071e-14,1.65494668607805e-07,5.46472217769661e-13,7.39237592232471e-07,8.81200883995878e-16,2.96850279433232e-08,1,0.0090513
33,2.15109649508674e-07,4.01867709395958e-06,1.74703651446338e-07,1.43826758785782e-07,6.53221001734039e-08,6.53221001734039e-08,3.19998693131818e-07,2.7960717942884e-14,1.6721458651351e-07,5.33015458552583e-13,7.30079076917413e-07,8.54863326304409e-16,2.923804587014e-08,1,0.0092394
34,2.10258466929858e-07,3.64682683543572e-06,1.73304309477581e-07,1.36811130405113e-07,5.93195426112914e-08,5.93195426112914e-08,3.11466698790477e-07,2.84385975009078e-14,1.68637473596196e-07,5.20191812843843e-13,7.2124324110791e-07,8.30272756538939e-16,2.88144539517746e-08,1,0.0093619
35,2.05182570863748e-07,3.29249320704136e-06,1.70944261201147e-07,1.28815790879817e-07,5.35566866410875e-08,5.35566866410875e-08,3.0202242375652e-07,2.88289200690607e-14,1.69790812675659e-07,5.07935405175498e-13,7.12695871445526e-07,8.07264665050402e-16,2.84124033663188e-08,1,0.0095429
36,1.99943210940009e-07,2.95992731843711e-06,1.67808790594723e-07,1.20042203513627e-07,4.8117033468742e-08,4.8117033468742e-08,2.91917819503826e-07,2.91385969449479e-14,1.70700313253807e-07,4.96193199846841e-13,7.04409823786439e-07,7.8567295882967e-16,2.80298583448021e-08,1,0.0089617
37,1.94595326270556e-07,2.65237563567498e-06,1.64056086154924e-07,1.1070002764017e-07,4.30606981183246e-08,4.30606981183246e-08,2.81388076289679e-07,2.93745089466072e-14,1.7138993245406e-07,4.84922552539576e-13,6.96363807603163e-07,7.65339961341955e-16,2.76647783533857e-08,1,0.0088039
38,1.89188291244668e-07,2.37221338923913e-06,1.59819602902291e-07,1.00992483968265e-07,3.8428738857732e-08,3.8428738857732e-08,2.70644046294295e-07,2.95433958044354e-14,1.7188192401889e-07,4.74089016941022e-13,6.88541223850121e-07,7.46122949529198e-16,2.73152512258115e-08,1,0.0085427
39,1.83766523781782e-07,2.12105340274525e-06,1.55211289904223e-07,9.11093186848393e-08,3.42467636471611e-08,3.42467636471611e-08,2.59869238558476e-07,2.96517737392663e-14,1.72196903977006e-07,4.6366447858738e-13,6.80929128902105e-07,7.27897451944579e-16,2.69795747176374e-08,1,0.0086768
40,1.7836998022308e-07,1.89983027875496e-06,1.50324951950698e-07,8.12215448898792e-08,3.05279765910882e-08,3.05279765910882e-08,2.49218484089932e-07,2.97058756419042e-14,1.72353925519276e-07,4.53625612942997e-13,6.73517344203546e-07,7.10557934565193e-16,2.66562925885276e-08,1,0.0090414
41,1.7303455836166e-07,1.70885671383337e-06,1.4523937099881e-07,7.14811751086808e-08,2.72757483266162e-08,2.72757483266162e-08,2.38819037766947e-07,2.97116093674044e-14,1.72370558296376e-07,4.43952659768776e-13,6.66297726072044e-07,6.94016694178982e-16,2.63441965939176e-08,1,0.0088904
42,1.67792434304054e-07,1.54785274035338e-06,1.40020992918423e-07,6.20232591746223e-08,2.4485768079785e-08,2.4485768079785e-08,2.28772553455128e-07,2.96745305969824e-14,1.72262969314309e-07,4.346284745651e-13,6.59263585044025e-07,6.78201699361774e-16,2.60423059532326e-08,1,0.0088034
43,1.62672352269318e-07,1.41595961282729e-06,1.3472613980006e-07,5.29713609785896e-08,2.21478484441207e-08,2.21478484441207e-08,2.19157779161181e-07,2.95998274247929e-14,1.72046003803613e-07,4.2563781543956e-13,6.52409239235282e-07,6.63053989086523e-16,2.57498347390138e-08,1,0.0087505
44,1.57699877724706e-07,1.31176399530182e-06,1.29402774781099e-07,4.44477100189176e-08,2.02474432775546e-08,2.02474432775546e-08,2.10033547853232e-07,2.94923143341019e-14,1.71733265077276e-07,4.16966821707384e-13,6.45729681606308e-07,6.48525054046418e-16,2.54661550699437e-08,1,0.0087625
45,1.52897632644667e-07,1.23336740421076e-06,1.24091888758616e-07,3.65918194877182e-08,1.87669182416528e-08,1.87669182416528e-08,2.01441869332518e-07,2.93564337059739e-14,1.71337193002494e-07,4.08602644041001e-13,6.39220340759743e-07,6.34574460820749e-16,2.51907614180427e-08,1,0.008613
46,1.48285515139696e-07,1.17852859983214e-06,1.18828576841696e-07,2.95961099521093e-08,1.76866161716305e-08,1.76866161716305e-08,1.9341108181345e-07,2.91962632775885e-14,1.70869140799585e-07,4.00533191922028e-13,6.3287691688197e-07,6.21167847621931e-16,2.4923239107747e-08,1,0.0086273
47,1.43880912526358e-07,1.14487557525979e-06,1.13642871761945e-07,2.37688882279353e-08,1.69857421461472e-08,1.69857421461472e-08,1.85958741664255e-07,2.90155282501806e-14,1.7033945007009e-07,3.9274696770244e-13,6.26695274996102e-07,6.08275340786069e-16,2.46632386516059e-08,1,0.0086077
48,1.39698909050402e-07,1.13014497317179e-06,1.08560409477325e-07,1.96100754342429e-08,1.6643104228109e-08,1.6643104228109e-08,1.79094300715239e-07,2.88176169364242e-14,1.69757523946434e-07,3.85232963553403e-13,6.20671381290779e-07,5.95870349371606e-16,2.44104557387118e-08,1,0.0085558
49,1.3575249076718e-07,1.13238475293072e-06,1.03602968878702e-07,1.77300193756427e-08,1.66377236432425e-08,1.66377236432425e-08,1.72821517644642e-07,2.86055990142419e-14,1.69131898275405e-07,3.77980602602538e-13,6.14801270820529e-07,5.83928700455308e-16,2.41646167040843e-08,1,0.0087065
