step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
15,0.328570797314344,0.501035011274089,-0.680017718366981,0.932951422087892,-0.630016290072942,-0.485674151554258,0.221171690577203,0.015584250696412,1.71472881632356,0.345671797453481,0.257653727657495,1.73492070926192,0.764842187284493,0.644217687237693,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.27079632679488,-6.61908663375731e-18,0.101411272958268,0.994844587720607
16,0.344650551124602,0.549793686628954,-0.709927566538275,0.879287506349237,-0.603518269947961,-0.433179013958207,0.23689755880124,0.007866510895803,1.80173930990561,0.24175199994268,0.233835388808663,1.72430831039407,0.731688868873826,0.681638760023337,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.32079632679488,-7.72271262366519e-18,0.101411272958268,0.994844587720607
17,0.355657457252069,0.597182193921304,-0.737109856059121,0.832160820916651,-0.563416584150776,-0.39307262020675,0.246848834361414,-0.00160043411966069,1.88806032655505,0.14512779875808,0.227455274127596,1.71850338056984,0.696706709347171,0.717356090899526,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.37079632679488,-7.50198742568362e-18,0.101411272958268,0.994844587720607
18,0.361393843027578,0.642875505836637,-0.761779392883937,0.793485683601449,-0.513876989588122,-0.362019563576377,0.251399553655429,-0.0116494428929124,1.97401536491968,0.0596608804874347,0.232414055031746,1.71237786811653,0.659983145884988,0.751280405140297,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.42079632679488,-8.6056134155915e-18,0.101411272958268,0.994844587720607
19,0.361795740747925,0.686572419973059,-0.784114469453855,0.764229976358184,-0.458605594163347,-0.337242096270845,0.25116394620234,-0.0213798990868786,2.05967539439709,-0.0122806739038927,0.243917849223859,1.70254939588621,0.621609968270671,0.783326909627488,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.47079632679488,-8.38488821760992e-18,0.101411272958268,0.994844587720607
20,0.356917152735383,0.728000057868983,-0.80427549943488,0.744587956600337,-0.400808132651566,-0.316558190550771,0.246910058466192,-0.0301283127496823,2.14492123156717,-0.0696898559185034,0.258289445163856,1.68708788860156,0.581683089463891,0.81341550478938,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.52079632679488,-8.16416301962835e-18,0.101411272958268,0.994844587720607
21,0.346911552124675,0.766917960644645,-0.822417547968882,0.734132180045466,-0.343157107840353,-0.298359599686546,0.239481526670759,-0.037446262182167,2.22950564813595,-0.112694321641116,0.272795627790185,1.6652243473399,0.540302305868147,0.841470984807903,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.57079632679488,-9.26778900953623e-18,0.101411272958268,0.994844587720607
22,0.332012650465761,0.80312101062296,-0.838697050488234,0.731965731324489,-0.287772298254749,-0.281547119225066,0.229729432120254,-0.0430785107690359,2.31311182674128,-0.142285736320948,0.28550737441535,1.63706819940968,0.497571047891735,0.867423225594024,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.62079632679488,-9.70923940549939e-18,0.101411272958268,0.994844587720607
23,0.312515831832095,0.836440839435573,-0.853273823674088,0.736876700507918,-0.236223266786292,-0.265440616399551,0.218456743786355,-0.0469370083634779,2.39540460330154,-0.160041676420769,0.295174803638869,1.60334246852502,0.453596121425586,0.891207360061444,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.67079632679488,-1.01506898014625e-17,0.101411272958268,0.994844587720607
24,0.288761097094899,0.866745694264488,-0.866309790766337,0.747486406713869,-0.189558874322221,-0.249680121175166,0.206377458907686,-0.0490700144683621,2.47607139350742,-0.1678663961876,0.301109994394277,1.56514758334703,0.408487440884166,0.912763940260531,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.72079632679488,-1.39030181671494e-17,0.101411272958268,0.994844587720607
