step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
1,1.40014284985497,90.188012308527,1,1,-1.5707963267949,-1.5707963267949,2.53734522610865,1.9604,1.40014284985497,6.43812079645633,2.53734522610865,6.99060866391378,2.6439759196925,0,0.0137979
2,1.39140448406344,91.5721191306405,1.12283998795114,3.52799293865719,-1.59649840743933,-1.59649840743933,4.26589560459045,1.94820321913593,1.39578050535746,12.3179930528602,3.50969985224666,3.9027473829894,1.97553723907939,0,0.0204158
3,1.36963016349858,91.3202110123211,1.2123498399778,3.74390229504435,-1.58127382356261,-1.58127382356261,4.461255879061,1.92409774101233,1.38711850287289,14.8462633747256,3.85308491662533,4.43034607409251,2.10483872876107,0,0.0179743
4,1.33325019322898,88.7130846006728,1.47939340006403,2.39208205207808,-1.51629277628774,-1.51629277628774,3.47642920449226,1.88746232519553,1.37384945506978,14.1560875345059,3.76245764554312,4.07175088706187,2.01785799477116,0,0.0159328
5,1.27773292274688,81.392758267784,1.68889091568343,3.29739402127334,-1.38055434022258,-1.38055434022258,4.16842716181252,1.83649014453068,1.35517162917864,14.800027028272,3.84708032516504,3.3191756842304,1.82186050076025,0,0.014289
6,1.20906876840039,71.3175558636022,1.68665817996235,3.40423592766022,-1.20858382008445,-1.20858382008445,4.17670068092124,1.7740496682291,1.33193455853848,15.2408272865613,3.90395021568684,2.76639521606032,1.66324839277251,0,0.0117781
7,1.13392087921048,62.1977667219878,1.57804711730735,2.93675172458931,-1.06014493511675,-1.06014493511675,3.68496287468011,1.70429636709773,1.30548702295263,15.0034164438769,3.87342438210389,2.39494116987711,1.54755974678754,0,0.0105009
8,1.0562647597685,55.0735236099232,1.42603876096026,2.42638382223295,-0.946847986546421,-0.946847986546421,3.15603441169034,1.63072122655161,1.27699695635957,14.373058539364,3.79118168113374,2.14087825832492,1.46317403555589,0,0.014186
9,0.978644526192156,49.5594496654997,1.2692738215422,2.00687140504541,-0.858921279249679,-0.858921279249679,2.71007688442321,1.55594610233986,1.24737568612662,13.5921094482663,3.68674781457403,1.94577611789549,1.39491079209227,0,0.0101908
10,0.902410321861038,45.2487029898944,1.13735026304836,1.64188515049547,-0.788349141512936,-0.788349141512936,2.32967472140964,1.48178593100601,1.21728629787984,12.7756369341972,3.5743023003374,1.78430391260973,1.33577839202831,0,0.0106337
11,0.828208018003516,41.8142888094988,1.0352877807338,1.36953673867867,-0.729742359038442,-0.729742359038442,2.04107419522418,1.40943525737686,1.18719638534526,11.9929412011257,3.46308261540577,1.64509378771595,1.28261209557525,0,0.0116225
12,0.756468538836377,39.0069689837488,0.957848906880318,1.16836985015927,-0.679537156760707,-0.679537156760707,1.82161905454249,1.33966937344956,1.15744087255011,11.2700540993545,3.35709012380582,1.52315999780436,1.23416368355432,0,0.0195087
13,0.687561138771465,36.6318276379449,0.89700631310059,1.01918382451645,-0.63507877516697,-0.63507877516697,1.65071488313074,1.27298252314949,1.12826527162254,10.6127314475111,3.25771874898848,1.41586752910561,1.18990231914456,0,0.0112786
14,0.621844557297148,34.5362490231214,0.845494471275324,0.90968525606426,-0.594404306704442,-0.594404306704442,1.51407133499463,1.20967596102739,1.09985269969546,10.0184229160783,3.16518923858879,1.32124922847334,1.1494560576522,0,0.0115063
15,0.559662992310244,32.6009816060481,0.79830784729029,0.831632949011037,-0.556067510471319,-0.556067510471319,1.40210062084225,1.14991240795634,1.07233968869773,9.4815871317375,3.07921859109377,1.23759673006461,1.11247324914562,0,0.0122255
16,0.501322051618444,30.7369996507972,0.7526286377877,0.779806064756921,-0.519057016889267,-0.519057016889267,1.309069317034,1.093750619924,1.04582532954791,8.9960918408039,2.99934856940701,1.16338251167683,1.07860210999091,0,0.011419
17,0.447065527244963,28.8840024358249,0.707187614489749,0.748753107954247,-0.482736000239831,-0.482736000239831,1.23075222942943,1.04116926496676,1.02037702099114,8.55601297077105,2.92506631903809,1.0972595258459,1.04750156364843,0,0.0134463
18,0.397059506407612,27.0077176003698,0.661646346410031,0.731830006249582,-0.446780961875199,-0.446780961875199,1.16327140599227,0.992085208670196,0.99603474270238,8.15585671483929,2.85584605937352,1.03806434213983,1.01885442637299,0,0.0089497
19,0.351385011619336,25.0960165528932,0.616148380297419,0.722014566841413,-0.411120932397789,-0.411120932397789,1.10284468493258,0.946368693813382,0.972814830177553,7.79061511927322,2.79116733989082,0.984808199645089,0.992375029736787,0,0.0091986
20,0.310038070255122,23.154082425798,0.571044270716382,0.713209804017775,-0.375875095227708,-0.375875095227708,1.04603647191054,0.903856439373089,0.950713647410769,7.45579397833791,2.73052998121938,0.936659620851181,0.967811769328717,0,0.0086313
21,0.27293527495496,21.199186955349,0.526745620839745,0.701057507854051,-0.341290678658928,-0.341290678658928,0.99011766722583,0.86436297389412,0.929711231455294,7.14743869341481,2.67346941134826,0.892923749412307,0.944946426741912,0,0.0088139
22,0.239922902886817,19.2556678025289,0.483656949884078,0.683072304183858,-0.307684500053599,-0.307684500053599,0.933285106672824,0.827690247777552,0.909774833559135,6.86214698418401,2.61956999986334,0.853021546072836,0.923591655480297,0,0.0087007
23,0.210788023171313,17.3505467849624,0.442147060763001,0.658351968901776,-0.275391723493336,-0.275391723493336,0.874674457149219,0.793635523557331,0.890862236014824,6.59705604600163,2.5684734855555,0.816470366243538,0.903587497834901,0,0.0087763
24,0.185270473650387,15.5100668841337,0.402536761723233,0.627139707826462,-0.244724933287451,-0.244724933287451,0.814214121130703,0.761997591259386,0.872924734017421,6.34980140387859,2.51988122812933,0.782866620257592,0.884797502402438,0,0.0089487
25,0.16307500870586,13.7572605405387,0.365091778453733,0.59039913545419,-0.215945328365787,-0.215945328365787,0.752402267863668,0.732581425947587,0.855909706655782,6.1184537146309,2.47355083122035,0.75187084623464,0.867104864612487,0,0.0086995
26,0.143883245427648,12.1105134958267,0.330017235259494,0.549467449407071,-0.189246156993803,-0.189246156993803,0.690075948513329,0.70520146296171,0.839762742065704,5.90144414155728,2.42928881394479,0.723195296924209,0.850408899838313,0,0.0089679
27,0.127365227135129,10.5829791753369,0.297453719435106,0.505801031752493,-0.164746977632025,-0.164746977632025,0.628213564758729,0.679683701410653,0.824429318626317,5.69748888753467,2.38694132469457,0.696593940220605,0.834622034348845,0,0.0086876
