step,x_I,y_I,z_I,u_B,v_B,w_B,phi,theta,psi,p,q,r,ref_x,ref_y,ref_z,ref_xb,ref_yb,ref_zb,ref_phi,ref_theta,ref_psi,ref_p,ref_q,ref_r
16,0.849233242458617,0.417651826190838,-0.988960095283446,1.50707318736608,-0.120665190128263,0.0489278860809399,0.0998059840432462,0.026598654480565,2.26797927186988,0.204017414036155,0.452723452546338,0.856663108284812,0.731688868873826,0.681638760023337,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.32079632679488,-7.72271262366519e-18,0.101411272958268,0.994844587720607
17,0.804901480965773,0.478286198621574,-0.989471367323868,1.48331730076181,-0.133546230370437,0.0609408665988261,0.110720207028826,0.0422462958367171,2.31331531403576,0.169178722693712,0.360375489402034,0.879971247225423,0.696706709347171,0.717356090899526,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.37079632679488,-7.50198742568362e-18,0.101411272958268,0.994844587720607
18,0.759225957566912,0.536256864802577,-0.990591496637528,1.45257698552759,-0.142006728413767,0.0668387693479527,0.1204818830449,0.0530402605399057,2.35953428894444,0.132402046607222,0.281786446641639,0.904586197942455,0.659983145884988,0.751280405140297,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.42079632679488,-8.6056134155915e-18,0.101411272958268,0.994844587720607
19,0.712355024611817,0.591151449945069,-0.992180710377576,1.41731233733289,-0.146467039401627,0.0683757572932288,0.128854690535322,0.0596969512951494,2.40665180108083,0.095617795045189,0.216710513850672,0.929404759028795,0.621609968270671,0.783326909627488,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.47079632679488,-8.38488821760992e-18,0.101411272958268,0.994844587720607
20,0.664422439672165,0.642666201161834,-0.994084707547761,1.37955412391264,-0.14739634295115,0.066990918246501,0.135711009563523,0.0629249484333829,2.45465976151595,0.060388441600712,0.164415873184319,0.953512146524596,0.581683089463891,0.81341550478938,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.52079632679488,-8.16416301962835e-18,0.101411272958268,0.994844587720607
21,0.615549596190095,0.690588866731824,-0.996154013501922,1.34094964576793,-0.145291914531103,0.0638004834968364,0.141014861596153,0.0634004981865954,2.50353175159446,0.0279103318445778,0.123829051678722,0.976176541185698,0.540302305868147,0.841470984807903,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.57079632679488,-9.26778900953623e-18,0.101411272958268,0.994844587720607
22,0.565847801245649,0.734782241823564,-0.998256510886934,1.3028035130899,-0.14066334402443,0.0596270014407902,0.144804686504763,0.0617494293196814,2.55322557147392,-0.000968434248154861,0.0936559558178319,0.996842779714056,0.497571047891735,0.867423225594024,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.62079632679488,-9.70923940549939e-18,0.101411272958268,0.994844587720607
23,0.515420471111613,0.775169296170412,-1.00028422873096,1.26611449355177,-0.134018251595547,0.0550456827456532,0.147176564252022,0.0585345936403227,2.60368466633044,-0.0257186026452407,0.0724832525325176,1.01512339352999,0.453596121425586,0.891207360061444,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.67079632679488,-1.01506898014625e-17,0.101411272958268,0.994844587720607
24,0.464365166244744,0.811720270965789,-1.00215572331158,1.23161031418964,-0.125848372999865,0.0504353574309872,0.148268409121725,0.0542480965743495,2.65483954026262,-0.0460922991510791,0.0588620850438295,1.0307858835096,0.408487440884166,0.912763940260531,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.72079632679488,-1.39030181671494e-17,0.101411272958268,0.994844587720607
25,0.412775422150907,0.844441796126171,-1.00381535882334,1.19978189753082,-0.116616260510685,0.0460266985423183,0.148245538244144,0.0493076793540958,2.70660973242278,-0.0620802598634084,0.0513755913088851,1.04373604816233,0.362357754476683,0.932039085967237,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.77079632679487,-1.43444685631125e-17,0.101411272958268,0.994844587720607
26,0.360742353536994,0.873367897140885,-1.00523062687985,1.17091770079513,-0.106743459969234,0.0419439717381067,0.147287900286141,0.04405666101666,2.75890650770597,-0.0738661727849035,0.0486913899954824,1.05399799171937,0.315322362395278,0.948984619355598,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.82079632679487,-1.32408425732046e-17,0.101411272958268,0.994844587720607
27,0.308356020931856,0.898552683401708,-1.00638841697525,1.14513803278245,-0.0966011013135396,0.0382389298659637,0.145579158257523,0.038766853948494,2.81163612742209,-0.081780393665145,0.0496000028351454,1.06169197354918,0.267498828624597,0.963558185417206,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.87079632679487,-1.25786669792599e-17,0.101411272958268,0.994844587720607
28,0.255706555836645,0.920064493406009,-1.00729091646121,1.12242865558785,-0.0865035921254994,0.0349169086593617,0.143297743421587,0.0336438464089841,2.86470340790288,-0.0862551824766083,0.0530401698740824,1.06701149416193,0.219006687093052,0.975723357826673,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.92079632679487,-1.23579417812783e-17,0.101411272958268,0.994844587720607
29,0.202885045523643,0.937981284960675,-1.00795160679671,1.10267270078253,-0.0767057109933523,0.0319559633449561,0.140609922203492,0.0288340223096676,2.91801522579547,-0.0877833998364618,0.058112205212129,1.07020099108407,0.169967142900251,0.985449729988475,-1,1,6.09166620000555e-17,0,0.101585905439654,6.17763623779416e-18,2.97079632679487,-1.21372165832967e-17,0.101411272958268,0.994844587720607
